,season,team,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa,wepa_net,wepa_against,d_wepa_against,wepa_net_opponent,wepa_net_normalized
0,2007,NE,332.0,-332.0,313.7151,-41.16817,354.88327,-354.88327,321.38806861735844,14.712185653951506,306.67588296340693,-14.892435893730022,241.82872176776752,-256.72115766149756,325.8818974224056
1,2011,NO,221.0,-221.0,259.33472,4.662956,254.67177,-254.67177,280.95727151614994,26.266541379986755,254.69073013616318,20.81271323814234,217.17553366740313,-196.36282042926078,270.785271143803
2,1999,LAR,291.0,-291.0,157.4732,-156.77711,314.25034,-314.25034,181.848282567145,-63.88365611020777,245.73193867735276,-126.93425761466243,149.91993477250392,-276.85419238716634,261.29026808871276
3,2019,BAL,233.0,-233.0,187.73804,-78.417496,266.15555,-266.15555,201.1879506397768,-18.843345553031995,220.0312961928088,-50.60503835049758,152.77073991311525,-203.37577826361283,234.05136203419784
4,2001,LAR,260.0,-260.0,135.84218,-141.19266,277.03482,-277.03482,169.7691172102165,-43.98872281347108,213.75784002368758,-110.95560576507516,146.23214079729686,-257.187746562372,227.4024199569491
5,2016,NE,234.0,-234.0,155.98463,-109.42961,265.41425,-265.41425,167.90979700598098,-45.75842768616486,213.66822469214583,-80.34777358136861,129.42605956728144,-209.77383314865003,227.30744086845442
6,2013,DEN,189.0,-189.0,264.52203,63.776066,200.74596,-200.74596,286.1377356411371,72.95758117572123,213.18015446541588,75.59476533320091,224.71450961052165,-149.11974427732073,226.79015811718088
7,2021,BUF,218.0,-218.0,133.34485,-122.17125,255.51611,-255.51611,154.42005860139426,-52.34123328654372,206.76129188793797,-93.69973528123072,120.52048296139596,-214.22021824262666,219.9871066047562
8,2011,NE,205.0,-205.0,283.33145,68.71141,214.62003,-214.62003,292.9560708973037,90.61937360147492,202.33669729582877,96.90683691754799,225.77487500792824,-128.86803809038025,215.29768623340723
9,2024,PHI,228.0,-228.0,152.67863,-117.53169,270.21033,-270.21033,163.30072037093217,-38.0590784023117,201.35979877324385,-85.43230086296892,124.34632482617549,-209.7786256891444,214.26231728893484
10,2024,DET,208.0,-208.0,202.62605,-28.983149,231.60919,-231.60919,213.36039690729118,14.439134681148504,198.9212622261427,-6.030892961374324,170.9956059867626,-177.02649894813692,211.67782672777722
11,2012,NE,224.0,-224.0,245.56421,14.945058,230.61916,-230.61916,260.17613187953054,62.49257643449097,197.68355544503956,50.56382735158373,199.72550320343018,-149.16167585184647,210.36603933749004
12,2024,BAL,169.0,-169.0,221.5254,25.265987,196.25943,-196.25943,236.25425160074235,40.4209241664429,195.83332743429946,32.82972294320943,178.30381980073108,-145.47409685752163,208.40506941254398
13,2017,NE,179.0,-179.0,211.54445,16.068798,195.47566,-195.47566,220.93245152436566,29.745936939004768,191.1865145853609,35.55900193204126,166.4115855196989,-130.85258358765762,203.48013032896773
14,2023,SF,196.0,-196.0,187.1319,-37.379227,224.51112,-224.51112,203.9089200246351,12.92582839629689,190.98309162833823,-14.003166799607756,158.52607663932653,-172.5292434389343,203.26453187383166
15,2019,KC,185.0,-185.0,179.51538,-33.589165,213.10455,-213.10455,200.18377356523263,11.549116324323101,188.63465724090955,-1.8465939958931994,150.89037337917065,-152.73696737506387,200.77553636748073
16,2023,BAL,220.0,-220.0,73.77116,-177.94046,251.71162,-251.71162,91.92150531229768,-91.11923946572992,183.0407447780276,-151.71250059860748,78.45740922102206,-230.16990981962954,194.84681080564872
17,2018,KC,156.0,-156.0,260.2592,64.62192,195.63727,-195.63727,272.729900842892,89.84587363734259,182.88402720554942,100.55850551264842,204.53259398402997,-103.97408847138155,194.680713197918
18,2016,ATL,167.0,-167.0,241.18242,39.141666,202.04076,-202.04076,248.2393522119901,71.47094175439824,176.76841045759187,74.59472450843448,186.4306928816545,-111.83596837322003,188.19905772322647
19,2004,NE,211.0,-211.0,178.75392,-57.321762,236.07567,-236.07567,190.25419700698652,13.581300289980755,176.67289671700576,-29.040359860103305,156.21537800997353,-185.2557378700768,188.09782718751885
20,2023,DAL,178.0,-178.0,140.13023,-76.684814,216.81505,-216.81505,155.80192922566053,-18.855515108700743,174.65744433436126,-51.577142311879854,125.88527100799875,-177.4624133198786,185.96174369695177
21,2022,KC,140.0,-140.0,203.25694,30.711332,172.54561,-172.54561,223.99363320332935,49.742018978266145,174.2516142250632,45.69810825791381,169.2890867750018,-123.590978517088,185.53162339050763
22,2020,TB,182.0,-182.0,147.8794,-70.160225,218.03961,-218.03961,170.4856000260465,-3.4044668234062847,173.8900668494528,-34.8729594376898,134.1001539391544,-168.97311337684422,185.14843627740606
23,2004,IND,179.0,-179.0,265.1971,94.24142,170.95569,-170.95569,276.89666996124737,103.20567287846079,173.6909970827866,109.85749079379316,213.24001446358827,-103.3825236697951,184.9374515646396
24,2020,GB,149.0,-149.0,217.45018,43.100464,174.34972,-174.34972,230.82005435568502,57.14754004464025,173.67251431104475,61.42824665550396,170.38792871369603,-108.95968205819206,184.91786254139217
25,2011,GB,184.0,-184.0,231.22627,36.73691,194.48936,-194.48936,244.30279813258352,71.14622315453398,173.15657497804955,65.6750687315201,185.15698084500744,-119.48191211348734,184.37104263096631
26,2025,SEA,191.0,-191.0,61.744892,-169.0785,230.82341,-230.82341,83.01509793454478,-90.12284152779243,173.13793946233721,-142.64880604194224,81.5090866534455,-224.15789269538774,184.35129172154564
27,2024,BUF,180.0,-180.0,227.99644,12.0292225,215.96722,-215.96722,231.95379702301105,58.92040633424368,173.03339068876738,47.34246347367883,172.84813639597814,-125.50567292229931,184.24048537796506
28,2017,PHI,206.0,-206.0,106.148346,-128.96211,235.11046,-235.11046,122.40304943105315,-48.32379743987238,170.72684687092553,-93.31067971511484,98.04625470728605,-191.35693442240088,181.79588772237727
29,2025,LAR,172.0,-172.0,138.48029,-64.5359,203.01617,-203.01617,157.60482181445568,-12.855802998378177,170.46062481283386,-43.43569316136487,123.14136423942405,-166.5770574007889,181.51373144420796
30,2009,NO,217.0,-217.0,173.7242,-53.886513,227.61072,-227.61072,190.0702709211573,20.020277346822454,170.04999357433485,-13.50388509594639,151.00046573265624,-164.5043508286026,181.0785226460135
31,2006,LAC,186.0,-186.0,169.94353,-34.5812,204.52472,-204.52472,173.62991161155855,4.079421442135517,169.55049016942306,-21.163485348315938,137.29554960680716,-158.4590349551231,180.549122405203
32,2012,DEN,189.0,-189.0,134.86508,-64.81383,199.67891,-199.67891,153.95659755685676,-14.623927667816854,168.5805252246736,-47.826217729895134,129.53498908614964,-177.36120681604478,179.52110203481374
33,2014,NE,201.0,-201.0,144.19586,-70.23423,214.4301,-214.4301,155.80870379824023,-12.639785729665423,168.44848952790565,-35.91754821750132,122.87646242239752,-158.79401063989886,179.38116358999596
34,2022,PHI,185.0,-185.0,118.69083,-90.272964,208.96379,-208.96379,144.0776200045113,-23.66319445827996,167.74081446279123,-60.33511069121835,116.36440720776143,-176.6995178989798,178.63113196618085
35,2025,NE,170.0,-170.0,146.75224,-45.968803,192.72104,-192.72104,161.2214229029068,-6.376385621587226,167.597808524494,-27.679339892374642,125.77948584707757,-153.4588257394522,178.47956667668046
36,2005,SEA,200.0,-200.0,156.89827,-47.380623,204.2789,-204.2789,167.2598302016944,3.092273527997248,164.16755667369713,-29.90759466204291,130.76233605542564,-160.66993071746856,174.84400355940144
37,2009,MIN,186.0,-186.0,108.181984,-98.73748,206.91945,-206.91945,127.19411949418702,-35.37524653787222,162.56936603205924,-71.69099095522066,108.6085285494144,-180.29951950463507,173.1501562257809
38,2019,SF,192.0,-192.0,73.8644,-150.95543,224.81982,-224.81982,97.84334925955655,-62.889390931617655,160.7327401911742,-116.38002713287086,84.78530390692998,-201.16533103980083,171.2036026029581
39,2005,IND,189.0,-189.0,165.13539,-31.067415,196.20279,-196.20279,176.5986995399203,16.47369907425554,160.12500046566478,-10.824528639838261,137.76987734834688,-148.59440598818514,170.55948776035436
40,2021,KC,140.0,-140.0,203.8407,40.470547,163.37015,-163.37015,227.3122507039347,68.25519618125419,159.05705452268052,72.59372302017783,179.9927762389482,-107.39905321877038,169.42762192354724
41,2010,NE,198.0,-198.0,206.59239,-2.4342356,209.02661,-209.02661,207.9183326773344,49.295161279172746,158.62317139816167,32.55517631360483,158.1977098763223,-125.64253356271746,168.96776954147097
42,2010,GB,193.0,-193.0,109.32478,-106.79934,216.12411,-216.12411,127.09971299014025,-27.587671370350137,154.68738436049037,-80.4410350497933,103.79388399288484,-184.23491904267814,164.7964133804653
43,2015,CAR,219.0,-219.0,79.07352,-163.1477,242.22122,-242.22122,100.40705383903438,-54.11863656044525,154.52569039947963,-120.25701272337831,85.66423888638275,-205.92125160976104,164.62504153183534
44,2018,NO,154.0,-154.0,149.21304,-31.353634,180.56668,-180.56668,167.75912715252525,13.389374564394625,154.3697525881306,1.6751714352753952,131.0887538930597,-129.4135824577843,164.45977035636815
45,2021,TB,171.0,-171.0,103.99862,-96.72796,200.72658,-200.72658,125.45458514501772,-27.26524039466585,152.71982553968357,-64.62133720102067,96.90599180657959,-161.52732900760026,162.71109003071172
46,2013,SEA,235.0,-235.0,66.69732,-183.14963,249.84695,-249.84695,77.40304108455811,-72.4019548806431,149.80499596520121,-142.12219270631996,69.17931357159236,-211.30150627791232,159.62179881972372
47,2007,IND,184.0,-184.0,143.36006,-53.27938,196.63943,-196.63943,157.72274910175943,8.5237541805702,149.19899492118924,-23.794025119100905,123.27180894817054,-147.06583406727145,158.97952672412504
48,2020,BAL,158.0,-158.0,100.48918,-92.8593,193.34848,-193.34848,115.1457629960928,-33.71593702450179,148.86170002059458,-60.73177847460196,95.76778118379347,-156.49955965839544,158.62204367227176
49,2012,SEA,175.0,-175.0,137.50154,-59.281353,196.78288,-196.78288,146.91645875574477,-1.819036887741225,148.735495643486,-31.209930658430874,117.59885627703909,-148.80878693546998,158.4882855697731
50,1999,JAX,215.0,-215.0,83.895706,-135.28815,219.18385,-219.18385,94.43886376762472,-53.00306684655499,147.4419306141797,-111.49981179315813,82.96937638603494,-194.46918817919305,157.11729664099943
51,2022,BUF,155.0,-155.0,100.59846,-73.488045,174.0865,-174.0865,127.29103136430003,-17.872019477322695,145.16305084162272,-45.36341993816228,112.63153327451553,-157.9949532126778,154.70201881004462
52,2020,BUF,129.0,-129.0,184.96251,32.00612,152.9564,-152.9564,200.17434454625266,57.06248593286195,143.11185861339072,60.89797315835672,157.488945808123,-96.59097264976627,152.52805633271888
53,2002,OAK,156.0,-156.0,155.49666,-11.824774,167.32143,-167.32143,175.809404325838,34.3727086326427,141.43669569319528,12.598995711475304,145.80310557446512,-133.2041098629898,150.75262968972146
54,2005,PIT,176.0,-176.0,114.916985,-75.11973,190.03671,-190.03671,125.78628719473679,-14.84494129185726,140.63122848659407,-53.73006559880335,108.19385008650103,-161.9239156853044,149.89895275990162
55,2000,OAK,194.0,-194.0,109.89131,-93.6443,203.53561,-203.53561,122.24823521595376,-18.356804895279385,140.60504011123314,-61.857502535255165,104.7739210485215,-166.63142358377667,149.87119692863766
56,2015,NE,155.0,-155.0,94.61128,-82.17383,176.78511,-176.78511,105.46430517095521,-34.70935063743928,140.1736558083945,-63.136251911407236,85.82707022840376,-148.963322139811,149.41399293050878
57,2022,SF,174.0,-174.0,64.97519,-141.70236,206.67755,-206.67755,81.7918210613058,-57.48732339579274,139.2791444570985,-109.12871932162822,67.66928795146659,-176.7980072730948,148.4659422863546
58,2018,LAR,144.0,-144.0,149.68689,-20.827446,170.51434,-170.51434,167.702216286984,30.46023459530942,137.24198169167457,15.328411715457134,130.85093173720549,-115.52252002174835,146.30684897892036
59,2003,IND,139.0,-139.0,203.71248,53.353065,150.3594,-150.3594,212.18114093131473,75.56352981142349,136.61761111989125,71.31977729084953,171.79449902996606,-100.47472173911653,145.64510788204944
60,2007,GB,163.0,-163.0,117.75591,-55.107304,172.86322,-172.86322,130.60484660908338,-5.863724983977402,136.46857159306077,-33.76610021049248,110.38861815079476,-144.15471836128722,145.4871478749334
61,2001,PIT,150.0,-150.0,32.97198,-167.26884,200.24081,-200.24081,55.1920460303972,-79.69468633935264,134.88673236974984,-141.72951788160205,50.29785076883347,-192.02736865043553,143.8106306429994
62,2020,KC,108.0,-108.0,213.76799,91.22997,122.53802,-122.53802,227.02933597141234,94.14448241152846,132.8848535598839,108.76536915215212,173.5275006319194,-64.76213147976728,141.68893314585492
63,2024,TB,114.0,-114.0,151.73462,19.152,132.58261,-132.58261,167.6398083381686,35.24496409065665,132.39484424751194,35.501324916989816,136.46917540201812,-100.9678504850283,141.1695952486189
64,2025,BUF,116.0,-116.0,164.22069,29.468851,134.75183,-134.75183,177.59236580398573,46.85042483288792,130.7419409710978,40.35467128436872,138.84632317558035,-98.49165189121163,139.41776055847365
65,2015,ARI,148.0,-148.0,90.73355,-75.777176,166.51074,-166.51074,119.88569085153497,-10.150747062653416,130.03643791418838,-47.88803141221344,101.5171213986091,-149.40515281082253,138.67003094432548
66,2002,PHI,171.0,-171.0,34.625816,-184.43727,219.06308,-219.06308,44.90280039366826,-83.94331878106001,128.84611917472827,-150.6994545467306,53.61368050742601,-204.31313505415662,137.40846791769758
