,season,team,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa,wepa_net,wepa_against,d_wepa_against,wepa_net_opponent,wepa_net_normalized
0,2007,NE,332.0,-332.0,313.7151,-41.16817,354.88327,-354.88327,323.1426444397471,5.388020060809223,317.7546243789379,-18.23604482088092,253.8236440727566,-272.0596888936375,337.56026923462156
1,2001,LAR,260.0,-260.0,135.84218,-141.19266,277.03482,-277.03482,143.88348272985613,-128.87382964562332,272.75731237547944,-168.80762761299758,137.15890976899564,-305.9665373819932,289.8789977436823
2,2011,NO,221.0,-221.0,259.33472,4.662956,254.67177,-254.67177,282.7571584533951,25.12534496859588,257.63181348479924,21.953190304992667,219.4025673612786,-197.44937705628595,273.85130660099816
3,2019,BAL,233.0,-233.0,187.73804,-78.417496,266.15555,-266.15555,200.31148206760898,-21.66690790539213,221.9783899730011,-52.70191988752985,154.4280419537921,-207.12996184132194,236.07125951914523
4,2013,DEN,189.0,-189.0,264.52203,63.776066,200.74596,-200.74596,293.0870986488,73.46175593790471,219.6253427108953,81.6121494441698,222.5286021479857,-140.9164527038159,233.57785979502717
5,2016,NE,234.0,-234.0,155.98463,-109.42961,265.41425,-265.41425,168.59925158504592,-47.99254414702446,216.5917957320704,-83.4532785572622,130.35795600228195,-213.81123455954415,230.36337051471747
6,2025,SEA,230.0,-230.0,101.6043,-169.61656,271.22086,-271.22086,120.60756080950303,-88.63130993768516,209.2388707471882,-143.96772953568257,107.94537609496786,-251.91310563065042,222.5718648258947
7,2001,PIT,150.0,-150.0,32.97198,-167.26884,200.24081,-200.24081,52.624007940470406,-156.17041355664003,208.79442149711042,-169.4196605782543,35.16771819563249,-204.5873787738868,222.10090546380493
8,2021,BUF,218.0,-218.0,133.34485,-122.17125,255.51611,-255.51611,151.45544798930126,-55.16983619699303,206.62528418629432,-97.39774114221966,121.03995933395774,-218.43770047617738,219.80238538753463
9,2011,NE,205.0,-205.0,283.33145,68.71141,214.62003,-214.62003,295.8324292553682,89.46209867466155,206.37033058070668,98.83012901709553,228.81526630222754,-129.98513728513203,219.5322245369335
10,2024,PHI,228.0,-228.0,152.67863,-117.53169,270.21033,-270.21033,162.9513978848657,-40.98004129112781,203.93143917599352,-86.64067565810701,125.38766001885502,-212.02833567696206,216.9478603154416
11,2024,DET,208.0,-208.0,202.62605,-28.983149,231.60919,-231.60919,214.98725133616767,12.843177687266053,202.1440736489016,-6.847162810238817,172.1581617318876,-179.00532454212643,215.05388360536023
12,2012,NE,224.0,-224.0,245.56421,14.945058,230.61916,-230.61916,265.1416110909099,64.08727746326265,201.05433362764728,61.014563978464125,198.18811412637248,-137.17355014790834,213.8991437443664
13,2024,BAL,169.0,-169.0,221.5254,25.265987,196.25943,-196.25943,235.6498878729667,39.86391455348547,195.78597331948123,34.82270912699697,179.89240046160077,-145.06969133460382,208.3165409847516
14,2004,NE,211.0,-211.0,178.75392,-57.321762,236.07567,-236.07567,179.4548473222477,-15.033106051728137,194.48795337397584,-48.02488750558757,165.31127343607568,-213.33616094166325,206.94109790456184
15,2017,NE,179.0,-179.0,211.54445,16.068798,195.47566,-195.47566,221.7854385224876,29.447960179812753,192.33747834267484,31.44410885791868,167.39487209163966,-135.95076323372098,204.66235325879128
16,2023,SF,196.0,-196.0,187.1319,-37.379227,224.51112,-224.51112,203.14061994868902,11.596383260995108,191.54423668769388,-14.233725600897724,159.2820616052887,-173.51578720618642,203.82179703387362
17,2019,KC,185.0,-185.0,179.51538,-33.589165,213.10455,-213.10455,197.79369546611872,9.409753078732033,188.38394238738667,-6.1063894303329365,152.2470776468568,-158.35346707718975,200.47300032102476
18,2023,BAL,220.0,-220.0,73.77116,-177.94046,251.71162,-251.71162,91.31199630229742,-93.4137216318292,184.7257179341266,-153.6170503295581,78.3335626413173,-231.9506129708754,196.59657336207042
19,2025,LAR,174.0,-174.0,173.6424,-39.204548,212.84694,-212.84694,190.13405333499017,6.440618753300614,183.69343458168956,-18.898330881652843,148.58967813140353,-167.48800901305637,195.5027172939714
20,2018,KC,156.0,-156.0,260.2592,64.62192,195.63727,-195.63727,272.4236850136414,88.91259936191503,183.51108565172638,96.47562766832623,206.5944505194182,-110.11882285109196,195.30949177785638
21,2016,ATL,167.0,-167.0,241.18242,39.141666,202.04076,-202.04076,249.57757975770127,70.33656116789201,179.24101858980927,72.31228549010956,188.3518401337848,-116.03955464367525,190.78472756864898
22,2006,LAC,186.0,-186.0,169.94353,-34.5812,204.52472,-204.52472,178.24951989821537,-0.7151565758552509,178.96467647407061,-19.023031185965277,141.34445693803784,-160.36748812400313,190.49190244514153
23,2002,TB,219.0,-219.0,-22.01317,-255.64075,233.62758,-233.62758,-12.064846088897676,-190.45451209710674,178.38966600820908,-242.56973499641234,-3.8068607064359368,-238.76287428997642,189.8825942684494
24,2011,GB,184.0,-184.0,231.22627,36.73691,194.48936,-194.48936,245.81213635559106,69.32857177470852,176.48356458088256,67.70256898455534,187.59056372346333,-119.88799473890799,187.8627994051776
25,2009,NO,217.0,-217.0,173.7242,-53.886513,227.61072,-227.61072,192.66494668799436,16.468483889228022,176.19646279876633,-11.070102766877877,152.09251693218908,-163.16261969906697,187.55857283232
26,2023,DAL,178.0,-178.0,140.13023,-76.684814,216.81505,-216.81505,155.68522261223086,-20.383808391975275,176.06903100420615,-53.161977221780226,126.2617321912647,-179.42370941304492,187.42354009986403
27,2024,BUF,180.0,-180.0,227.99644,12.0292225,215.96722,-215.96722,232.63020453485214,57.19695232190202,175.43325221295012,46.06303271941052,174.8750754866703,-128.81204276725978,186.74983894296537
28,2020,TB,182.0,-182.0,147.8794,-70.160225,218.03961,-218.03961,168.37554548058955,-5.579888100465861,173.9554335810554,-37.46960586371957,134.54918866197568,-172.01879452569526,185.18387270488597
29,2012,DEN,189.0,-189.0,134.86508,-64.81383,199.67891,-199.67891,160.7426811799935,-12.940603439255025,173.6832846192485,-41.46532820435581,129.3562226777992,-170.821550882155,184.89549084481186
30,2005,SEA,200.0,-200.0,156.89827,-47.380623,204.2789,-204.2789,165.12814498903464,-8.095340782394977,173.2234857714296,-31.212560377850377,136.55552058569262,-167.76808096354299,184.40826632588085
